Sampled text is:
ჯვილოძე
თავან დერეილი
იოსელ ქანდვერიშვილი
ტისერ ავანიძე
გიორგ შაშვიძე
პესდოლ ქამოჯდილიძე
ორსეზ პაბერუძე
გომარგი დამაფციგელიკანი
სიმორე ბართები
ზიმიო ამიბაშვილა
არბაკისნიგიან გახოსეზდია
მიდერი აზობაშვილი
ელოტა აჭჩანიკონიძ
აბანს გხგელავო
ლადოთ ემტინელი
ვანე ჯე ვამმიხვონონანიანი
ბადეო მექთიშვილი
გოლოზ აკიშვეინი
გიმდორ ზიხთელაშვილი
ტაგილ ფრაგიანი
კონორ ეხვენიშვილი
თოსილ ქათამავა
ბავალი
სირო მიცარი
იოსაკან Iბეკიძე
აშვიონ არქღანიშვილი
ელოქ ხიდარიუნი
გიგორ გულეონიშვილი
ვამურ ბეგაშვილი
აქრმთენ ზურიკაშვილი
იოკა ლაშვისკენიშვალი
ვალეთო აბვორაძე
ლიარ საგიანიძე
ნებრა ლოთქვაკაძე
ქაზრი დაეიარე
დენიკ ბუხიანი
ვარდე ბანურაშვილი
ნაბორ იჩისაშვილი
აპიას ურამვანაშვილი
გუბა ოჩალაშვილი
სქნი ელიოვი
ზაბერე მუნხდანიტე
დადიან კაპაშვილი
გიორგი ტიმი
ორიოლ ზვირენიშვილი
ნიჩგი მირაქურიშვი
მოსანაზ აცბთცერიძე
ჯიდა ანიძე
ჯერთბეტლი
გოზტან ღარერიშვილი
იანე ოსანაშიძ

იმოგსელ II
ბაკით III
შვიტ ფხეიაშვილი
სემტელ კაგიაშვილ
გოლე ლადიანი
ლემორეზაზ გვინაშვილი
იოსან ვანავაშვილი
თევრე სვარუშვი
გურამ ღაშვილი
ზითერქმქრირო უჩანანელ ვარდოდდი აპაური
იონუან ერბეძე
ივანე ბახიძე
ნიკო მაბველიშვილი
პაგრაბ კომიტაშვილიძე
დოტსა მაბოხაშვილი
სესგიზო გაგისელი
ოამეხინე
ფანანასეძე
ნადრიტ ქიონეძე
იონე ბეიზაშვილი
იოკოტ ზერშული
დათატაზ ერსტიონი
მეკიზაზ მოდველიშვილი
სიმდო ლი
ვადიბელიძე
იაკონეზ ბვირდასი
ზანო მადასმიდეი
Iნანიან კერუძე
ნიკოლო იდანთია
ასსელდი Vნ
რემტონ მორხიანი
სომარ ამვასი
მეხტელე სვიროზილა
მიველიშვილი
ნინო ჩადიშვილი
ალორე მამითშველი
ვახენ ურელიძე
ტაჟა მორVძე
ისნინე მინაკანტშრიი
გუსაშ იბაზიშვილი
ელტან ცანხოკიომიანდმენე ჭეურძე
გიგიი
ორგი ერსსტაზიშვილი
ალე კრიდელი
მონდე მადიშვილი
ელდონგსანდანი ქარეწსამდაძე
დოდა აბაშიძე
იანაკან გიცაშვილი
შითო გიბაქიპანი
დარია ოსბელტვანი
სიკორ აბთველიშვილი
ნონხე ქუხანდუსეშვილი
დახითო მატიშვილი
ლადოხ სოზდაშვილი
ზამიან სათღაი
გიოტა მურთელი
გიოგგი ბოსონიშვილი
იოკო ზუვანდიი
ლეჟტან სურეპაშვილი
აროდა მურსელიშვილ გუხაბეორისე
ზანტამე რიჩელიავი
მირე ლურთელიაძე
ვადტი გემადაშვილი
არკონ ნიIკაშილი
ბაკობ მაგაშიალაშვილი
ვანა ამაბურეშვილი
შუმაბ კელიასა
გავიმ სამაშვილი
იოკო ურიბაშალი
გიორგილ ბაიოძ
ანემტანტიშრიან მინაშვინი
მისანლე გართაგილი
მოდრურ ძე ადთევი
იონებოსიან ბონალი
არეას ანჩვეძე
დევიონ ღაზიშვილი
ვანტინენ ავრობოალი
გიდიზ არგიმონზენი
ნიკედ ზაპოვაძე
გიორგე უაშვილი
პოდია ჯიბოფაძე
სასრე მოგდეთარი
ზიზიტონ გომომურე თუტდორგილი
სასალი ვართავი
რედეა სიბაშვილი
ელუკაკაბ თაიბერიძე
ნიკოლ  ოვაშვილი
თავამეინ გლონაძე
გიომარ იბონიძე
ივანიზ ჩოლაშვილი
დასრა მცერთძე
მავა მურთელიანი
იაკელ ქიის
ზრედი ბექოვე
შიელ ქართაკისი
დამონ ქანთვერეშვილი
ავედდი ახი
მიხული
მიგიქ ასზაშვილი
ივას ომიკი
აველ გვექაძე
ირაკი ბაჯვონი
დიორგი ჩააზიშვილი
თემოლტინიზე მანრელეანი
ნონა ადაშვილი
ალედა მამრეური
მაზა თაღაძე
რეზტრბთვიშვილი
სასილა მოუბაშვილი
ბარათ აI
კონილითე ამთონდელიშვიი

ერზი ლოური
არსე მენერი
ვენგო აბინიშვილი
ნუირეზიო კგვურიკილი
შარვა ფჩრიჩელი
ნილეზ ქიკანიშვილი
ვატტი დაბელი
ალექრა მადრეი
შახა
მიხრე ლობოაზიშვილი
იანონ ქაიველი
სობრეე მიდაშველი
ვემობალაზინე გვასაიშვილი
ალელიქონ სარადავი
ბანონ ღოსელიშვოლი
პიდოტრ ბომოზიძე
იზხიქ ჩთახელი
აზსან ბურაშვილი
თერაზ ანბენიშვილი
მოირო გაბუბაშვილი
დავო აIსსასიანი
ტანისა ბეთიაჯიძე
ჯაბხადანგვდინო იფანგვური ვაურიანი
სეტი აზდველამვონდანი
ნოზრო ელნქვემაძე
ანიე სურდიძე
გიონ ვაშითვიძე
პმარტმესმ რიაკაშვილი
ვაზჩაზ წმანიხე
გიზე ლომთათოვა
არდოდ ბაღაშვილი
ზინვილორადე გენთშვიძე
გარსე ზებეშიძე
ლეკო ანიV
ანანე სახჩაშვილი
ჯიმდი მედანაშვილი
ნეგჩორ სიკინაძე
გივამ ნემონიშვილი
პარა კულიაშვილი
ალაქან აკულიშვილი
ტიმოტელ Vა მურაბელიკველი
ჩადე დობელაშვილი
ლედრა მეგუხიძე
გიორგის გადიონი
პაზა ავიაშვილი
გიდლოკ ქომიე
იენიზბელ განდუქელი
ზოტენინზოზ ანინქინატი
სიმოტე მერბა
თიველი
ოსმგელა მხიდქხონი ასოლიანანი
ლიორტი მედღონი
ზოზაჩ ბვანაძე
ზიდა პოდელიკი
კანა არათიშვილი
იოდგი ეანიშვული
იანა ტოზასიშვილი
თეთან ბარითეკი
მენანე ბანბრელიშვილი
სთმიტრობ ჟიცაშვილი
ჯოსან ქთურაშვილი
მავატოზ ერდენისე
რურას თებისაძე
გიოე ლამატიშვილი
მიარგილ დუმავანი
აარვენ ჯიპელაშვილი
ლოდოზ ძეთედლიშვილი
აბეტინე ბაზინონისე
გიკითელიატიონე ნარსერინი
გარდრი მაჭელი
გურამ ნაVძე
ნუნბე ლიასასი
ჩახე ოჩპელიძე
დატა აბაშდელი
ეიკელიანი თოცუტა
როგონ Vანავა
ბეგვილი არბაზიაშვილი
ალიობ ზავუშაშვილი
პამარ თაჟბელიშვილ
ბაბონიე ათჩვრონელი
ქიდეი ანოწელი
ვანდანე დთინძე
გიკო ლოძე
ასელიშვილი
გიორგი გაბოხიონიძე
პამრედ ბიაპანი
ზრიგლი მობელინიძე
ომანენ კოწექიძე

ლიელინა რუნიკოპითავე
კავაკი
ირეზლ მამაშაშვილი
მოდანიზ ბენდვაძე
კამტერი ნამოძე
იაკან აღგძეშაძე
ტუარგი ქორთელიოე
ნეგო აშვითჭილი
რადელ ბურჩილი
ვეთე ბარჭაძე
იშვიფ გადავაშვილი
გელა ბეგრენიძე
აკრიკელ II
აბელი ჩანმეტაშვილი
სიიკალ ათაზიშვილი
იონი ჩალონიფული
არსო მაგიაშვილი
მიდელი გხიბაძე
გიდორუი კაზიძე
გავო მადაშვიშვილი
გელრე გლადთერი ანევი
დარლი მაVბევი
ფევად ართელიკოლი
მაირი აგრაშვილი
გონგტაზ კაბიაშვილი
ნოზაბე ვალიანიშვილი
ურანე შაჯურაშვილი
ჭერგე მეგისანა
ალსანე მავაძე
მოდე ზამბაშიძე
შავა ძელაენი
გასურგი ოკაბაშვილი
მარემ ზუხაშვილი
მადრი კორიზელი
თანისლი ბერიშვილი
მონკლე მავანიშვილი
შიო მირდანიძ
ადია ჩაშგილი
ნოდსრე მაბაშვილიძე
მანაზა იანთურე
ოლეკიძე
ასრ კენდიძე
თიორ მემიაძე
ივანდრაბ აკიბე
იათეან ბურენიშვილი
შავიშ მუმარიშული
ძე
მაინ ნიშვაძე
დეიგი მორჟვონანდიშვილი
ელსანა კორიძე
გათტან ბაკაქორძე
იაკანრიზ აბა ჯეგდელინი
რიკობ ლიI
ბეკის ნუბთაძე
იმანენ ბაჟანიონი
ელიტეონ ხოზქაშვილი
ქიმონეზაფა სცირკაძე
პამაკურიო ლდუხადვილ დაბცარია
დემავი
დათია აგრეძე
ინტი კელემიაპერიშვილი
ალოქ აშილი
ზავათ ჩაღაძე
იანაკიკოს გურხაბავი
ზითო თავაძე
არსან კიპაშვილი
დეკტუ ეშვილი
იოსონ გაძოძე
ელოქდანტრე აზიოციშვილი
არაზა აბვაადიშგილი
დალა ალიქაი
ბეიგგილა ბბეტაშვილი
ნესრტან I
პათაშ აშვილივა
დემტეტ რემაშვილი
იორა პაბელიშვილი
ლოსსა ყილაშვილი
დახი კანია
ქინე ნეტანიანდიკანა Vანიკელიძე
თანარ მუბერიძე
თიან მანაშვილიშვილი
ეამე მილაშვილი
ოსაბელი ვალაძე
გიორჯი აძაI
ვამურა მელიაშვილ
აზან დუთრიშვილი
სლირეილ განაშვილი
ვანტინა იანანაიე
გნიტა მასია
ავეზქანდრე არბელიშვილი
რადდი მინანრინი
ააქაჩაზდრე მგიაკაშვილი
ზაბით ჩთაპურაშვილი
სოჯიმ აზთრელიძე
იაკა რემაშვილი
ნოდელა მIდიყი
დამირ Vბასისი
ნეტორ ერბელიკონი
მენტანი აბIშელი
არმებბანონაშვილი
ორელ ზელევა
ზეირე ლურსოდური
დევაბ ზამათაძე
დიკილ ჩაბოშიინი
ზავარ დაბული
ასგიონ პაშალიშვილი
ოსსაკი მანაშვილი
ჯამანს მეთელიშვილი
ვანსო გურაშვილი
ჭევულა მგეღძე
ავანე მარდელია
ბურიბე მღვათელი
იოსებ ჩადღვი
შველიძე
ნისტლი ორსფარანი ელიკანი
თეკო  მიყანიშვილი
სატრაკ რIII
აელენ საშიაშვილ
ნაკა შციფი
ნისოლ
გობრა ასაშვილიძე
თევა რაგურიშვილი
ფეთას ართეცაძ
ელექნენდრე პოჩბელიძე
დეიკა მორთოიძე
არსე კეიქევიძე
კთანო ლავი
სიდოგლიან Vბე
ზაო მარკიძე
ალექერობ რენთლარაშვილი
შუვამ მერყელაშვილი
ელა მერსნმემნონაშვილი
ლიკო რატადშელი
ბოვიან მოდნაძე
თასრე მიქიშვილი
ნიმო საპამიუნი
გიორგილ ბაბაშვილი
ნიკოლიზ ქვირი
ალანე დარიმანიშვილი
ქიორგი საბაშვილი
პამიო მაბიძა
გურამ IIპაშვილი
ავაზ ბიდიძე
რემე ნაკიშვილი
ალსუნქა თეპელიმტანევი
გაგოლი ეძე
მორვე მეიძე
გივა ანიანიშვილი
მიდეო ტავანია
ვანგი მიმახენიოსიკიანი
სიტოზ რარია
ალექსანდრე 
კუნცომაანიშვილი
იონე გუდაშვილი
დამრა ლასი
დევო ოვთიანი
ასსლენდტენტნე ტაბელი
არნებ ქიმიკარი
ბა დარაზი
ითეტანო ქრეტაშვილი
ნიოგი ვალი
მიმდერ ვციბეშვილი
პელა ვეგლევა
იანზინი ობაკანი
მეკუ გეტრანი
იასელიზანონ ბუბაშიძი
ზედა ზურატაძე
დუდილე ორგელიაზი
დიხელო ურისიძე
მადა მირაძე
ელიქიანტანე სახთვი
მორმებ ტართელი
გოზგე მითანაშაი
ვორდიუ ამამაშვილი
შია შველაზვიძე
ერთომ დარათაშვილი
დათვატ ბიქაძე
გიორგი ტარიაძე
გამრენ ურსათთერელიძე
ნისებ ჩამატია
დეჯტერ მუდიბავა
ზარჯე ლანიუ
ილეკლე გერთაშვილი
გიოლგი გიდიანი
გიქრელ ბარამია
თულიძე დაცრაშილა
ვომჩრე მეთჩეთაშვილი
იოზო გამართანი
გიირგი თორბ ბომაშვილი
ოოზტრდე სომთანანი
ნესლა აზთიუ
ელდაკა ბოთურიძე
თერ მეკტანიური
ელიბა ჩოთხერტიკოსლინი
ქაჩრი მეკა
სედიერ იკაფიანი
მიარი ვაბიშვილი
ასსტიმენ ბარაშვილი
მევა ნირიანაშვი
იერენ არბელაშვილი
თიმდცონ ნიდოვი
დურნგიქ ახსქორდაზი
გისონ კახაშვილი
დებტან ტოკჩნიძე
თანე კელდური
გურრი ეგინიშვილი
იაკობი ამმქრაშვილი
გიურლი გაფაბაიაძე
გიკირა გეზია ანიკანი
სონოლე ბარიაშვილი
არბე ლასლიშვილი
გიოლგი ავია
არრემ ჩგელელი
ვანდან სურაბაშივი
ზაკა აბისაძე
არა ხრვაცაშვილი
ლასორ გიბბეკვი
ანიკოტა ნემატი
მიკხაზზი მათვანო ჭამთიკაძე
ლიქაბე ლიკოსი
თავან კარქხიაშვილი
იოხე მომარდერი კორბელიანი
ლირონი სადთავი
ზავალე ჩურქხეკიბე
იმიორე ფანმერეძე
ილადანი თადურაი
ელეა კიმაშვილი
აკოლ ჩემებერიშველი
იაკაზ რიბოშვილი
გათატან გერეძე
დეისრონტონი ზანტტოშვილი
კონელზაზი ბესთობიშვილი
შიო თენიო
ელიანი Vაზაშვილი
მედილე მიცაშვილი
გოგრალ თუჩანიროშვილი
დავით ართისანელი
ვანგი კამი
სახიე დერსბაზურიძე
დარაბ ბაბერუხიშვილი
მადან ანღრეძე
ჯიმაღ ახდბონიშვილი
მოდრი ჩარია
თასილინ ზაკოშვილი
ჯაბამე სუბიალი
თიმან ლონირა
ჯაჟან გხემავი
ა
თემტენ კაშვილიაშვილი
გულაზ ხუდაშვილი
ითაკო ალიანი
ერსე გიბაძე
ლივონ ნომაკაძე
გვიმტტრე ზირმეზლიშვილი
ნემლა ახლიბაშვილი
პანჩეტ ზევაძი
სიაგო ავთრერიძე
ნოკოჟ დთვიანიშვილი
იოსდია გიმაძე
ირემონ Iკნოსე
დავა დაივი
მიმეო შუმოურია
გიმორო ჭამადიშვილი
ზენთა ტედტარიოსი
მაქან ბდერაშვილი
ნიმონისიზან ჩმინეოსი
დოტიტ კანთერაზი
სიბო ელიანი
თომორში ბისანადაშივა
ვასსოტ ქობესტერნი აბაშვილი
იონგიკი სუნტონი
ბარლა ბამია
ასსიკელი ლიბა
დოზოლ გოდურაშვილი
შოონ ფასიკველი
ერგელ ქაბერიშვილი
იანე არბელინიკა
რეზა მებელიონიჯევი
დადო მგედეძე
იოოლე სტიჩაშვილი
ნიკოლ ბოხურაზი
ზიმორე სრედაზიძე
შიმონ ნორჩელიშვილი
გიმიგრი ბგუხავა
ელაბერიზნ თამინელი
ოისაზ ჩემიშვილი
ჯატიონ არიქანღშვილი
ელოკელ ამონია
არეა ზაციფანდელი
იაკობ ართელიანადიძე
დანასელინი ელდქიანიძე
ათაკამ აცთთაჩვია
ზადაბ ურზერბიძე
ამანეი
ა ნარამია
ირედლი აირელე
გვაკა ფლიაკი
იოსენ კოტეისელი
სეხრე ორელიანი
ვანტანე კადურიძე
ზვან ანთვაშვილი
აკოლა მოდია
ბანა სბიამიშვილი
შიარნ სპანაშვილი
არკობ აბაშიიძე
ნინო ანიშვიკიშვილი
ზარათ ავანიძე
იასემდერ ბაბაუნიშვილი
ვაზნი სირაძე
რედთაბ ქამანაძე
ტიმე საშვიI
აკტი ელიაშვილი
ბატიკ ქობარეძე
რეთეს გემოხსი
ერგე შანიშვილი
თოხგალ ავნიკაძე
ლიქელენი ქანდრე ა
თაფატი
არგელ თთაბურიდაშვილი
მელოჩ აშილაშვილი
ნიმოდლან ზომიქაშვილი
ფაზხა მადიაშვილი
გიორგი პიროშვილი
მერამ ნარგელიონი
ზანტრე პორი
ვანე თაურშვილი
კითოს იანიაზი
გიოსტანდინო ანიძე
არდეთ ჩრიძე
ზარე ფოლიოსი
არტტინე მაკანიძე
იქსაბერიკა ანსიშვილი
ანსტიიე კელეია
სორიან ბანთაშვილი
ნიმონ მარა ანდებანიძე
იფა შელიძე
ნურსე კენონიშვილი
კისტისე მიიო
რემონე ზურითერი
ბაზაზლ იანიაშვილი
პანდთე პადიათერი
ლეონი ფარხქოსა
იოკინ ქვორირელიძე
იაკლი Vსდაკითიანე
ეხიანე მაბენშიძე
შიამ ჩუმანეი
ნოსონ ქადოხე
იოკაზ ბაარიშვილი
ნედრე გიქჭანოელი
მიმიქნანორიI
ზასილ გუსანაშვილი
თამა ტავიშვილი
ძეკოუ ამაკაშვილი
არსილ ქარდელი
გიორგი ბაკომელი
გიიტო დურაბთარაბი
იაკობ რიმური
დითრეზ გვითანული
სტიელ ქურთბელი
იოსილეანდ Vმარელი
არედბანი უკაისონიქარსგვია მინაგიანი
ქადხეზ კოგბარია
ნოდუ დიმიფაძე
მადა კაშვალიძე
არსე ევთეაძე
ორედე ნიგი
ავანი გემეშვიძე
ნინოზ ბარაბიშვილი
ნოოსანანიზიზა მამერეტი
მანანო გიგიაშვილი
კაჩსა გურელი
სავი
მანითი
ურიკტი Iბელი
ლაკით შანთორღძე
სადურე ტუბითელი
ალეკა ასიშვილი
კაფაბა მადიაშვილი
ნოლო კაბაშრიძე
ალეთე ქრამშველიძა
იოზემ თაგელეშვილი
იაკატ ჩრდცაწია
თომულ აბანდია
გოთდა ლედიანი
გიმა უნანიშვილი
იკადგი სურმენური
გტოდივა საზთეი
ტიჟეილ მარბოშილი
ელეს ქიველიელი
თიტაზ ანანიძე
გიორგ ბურაზარიძე
ნანტრე მაჩიბეშვილი
ჩიობელიქეი ბამაშვილი
ვახეკაშიფანისეტრი ამამავერიშვილი
გიორგი ტადათაშვილი
გიერგო ბემორელოშვილი
ელსოზ უვრიიოშვილი
ილხექრანტ არჯიდი
გიონგომ ჩვეი
დიიელ ბაიაძე
გიორგი ქერობევი
ივეკლიზ ციბერი
გითორ გულოშვილი
ვეკოზ იარიაშვილი
ჯიმირლ ქასვანზილე
დარსვან ართელიონი
გიმორ კივია
ნეტონსი მახავაძე
მაფარ ნვრანაძე
აკან ქენგიკასვი
პიტონე მადბაბიძე
ჯამხედეთიანი
გობტია ავბესიძე
ლებერაიზანი გურხიძე
ასან კაიშასრიკაფანინმენე აღთანე
მიკაძე
იდახი მიდაშევი
ზიბელია შაბოძე
იროკლო ღები
ერიდა ყებმატი
კინრგი გამჩქერქიენიზამადეტიატ კხოდაძე
იაკელონ შვიქაშვილი
ალეკონ მერეოძი
მიმოდ ზირთული
ზურემ II
აზსი გულაბი
გიორგიზ ზირაბვინიძე
დურაბ ნონიჭაშვილი
გლიგოლ გდაქური
გიკო ასაბარიონი
ზარა გიქაათიძე
ჭონდელი აჩღთენელი
მიკოთ კაკილაძე
გიორგიქ ჭარჩანიშვილი
ჭანო მერჯვაშვილი
გითრგიტ
ნენე ანიე
გოესენ გოტააშვილი
ვარდიო აგსიანიძე
რანტას ადინინიშვილი
რამღან ვვანია
ილჯაქ ურთელიძე
ირსილე მადხირელი
დასრიბედი სემნიკანი
ლობანა მონხელიანი
გიმო ავარასძე
იანი ნემიძე
ვაკიკოზ თვარაძე
ბანიზ IV
სასიან გრადოვი
ნიკოლ ქოჩიანი
გიორგუნმ ოკცველიძე
ეისეთიანებელთამე სენღუნი
ოვა ტასიჯიშვილი
არსელიშვილი ერა ვაკაშვილი
დავრთ სურბასიშვილი
საბტიი ავოსრირა აზიტაშვილი
იოკოლ IIს
შვაფ მურაბელიქია
სიცო ლერაშვილი
ჩაბრთე იაშვიი
მაზია მიქისაშვილი
ბიტონ კანიანი
რიკოლე გვიანიშვილი
ნა ობელიანი
მერა უკენიბარიძე
კაგსინ Iფრთელი
ზამტან ქრენიძე
გივონ გებოშვი
ნიტო გელიაშვილი
გიოკილოზ ჩაბთერჭელ ვანტანე ასბენერიე
ეგერნა ზამრმეშვილი
თოვათ როთულაშვილი
ლიკოლ ქატთელიძე
ნეზა ჩილეშვილი
დსილგირა ამითედიანი
ნემარ ბეგანაშვი
ანეან ეთიბეშვილი
გიმიტან მაპეშელი
რიასლ კული
სურგილოზ ღაბერპანი
იფარე ნიბელაშვილი
იაკონზ ბექტანეშვილი
იაკო აკიკაძე
ჯუმენ ბერიანი
იასენი ბაძეპგიტე მერტღ ტანზიშიი
ავადეინაზ ანდვული
იაკებ აოთთურია
პასელი ობელია
ეტრტევიან გურელია
იანსასითეი მადვანი
გრიგფრიზ ბვიმაკიძე
ინანიღე ბათაწურიძე
ავენიზოსან ჩადაძე
დოტაზ კაბიაძე
ნინელა ოპთახაფლიტაშვილი
შიმოზ დაკქაშვილი
გიგიგლოზ ქველიკანი
გიორგი IV
ჯაზა ბაზანიძე
იო ამერაშვილი
ტინიე დიურ
მურგე ლიანიშვილი
ზიურბ იარიაბი
ნიკორ ბულესიკი
რომტან ბარიქოქანდეტა ერიონია
აკდიქნინ თანიანი
დიხო ზარიშილი
აქხოსეტან ხოთერი
ვოლიან ტახდინე ანამსრტელი
ეოსე თანველეძე
ზანა ერიშაელი
ზიტაფრიე ბაიე
სენტა მანხეთენი
ნოჩითანმი
მთატაშვოლი
მავეზ კებტელეძე
იკსდრი მანაძე
ევანე მახანძე
ნიკოლ ქატაძელი
ტიზი ვანიანი
იაკო პაურიშვილი
პიმოტ ბხიდოშავი
დიორგილ აჩმენდაშვილი
მახდაკ მურსჭძე
ლივო ლორთომანი
მონეტინ მერაკაშვილი
ვაბრილ ჩხბურაიძე
თედა ანიშვანია
აზსაი აბბელათაძე
ბათო თაცაშვილი
ულრა აფვრიკოლი
ჯადოთ დანიქელიშვილი
ანოსეან ჩხიასვი
ნიკა გიზიალე
ტანე სდამონე გიცეძე
რდითსანირ კალია
ვამეზ ჩამდნებე
დივიოლ ობხელიძე
კოდაშვილი
დიდოი მეგაცაშვილი
ნიკო აზთელი
ითეჟლოზ ჩასმრხეოშვილი
დამქუნ ბარდაშვილი
გოტონ მოპდარიანალგვამდიონტიდერნისკანთონ ერხე ბადაშვილი
შადრო ცხეტაშვილი
იორა ყაღიძძე
ანეტსგი მუხნანოფაძე
გიორგი გავი
ვანი თახიარიბელი
იაკობ კართანი
იანე სამერაშვილი
ოლო ფბენაშვილი
ალესლობტაშვილი
თობა ქურმედოშვილი
მონე შათიშელი
ვამომაკელ გაპადვი
გიდგიოლ ეთვთაშვილი
ზანა აგისაშვილ
ანეს ქურაბაკიშვილი
ირდიტრ ტენ დადიანი
ამიბა ასიანიძე
დავით ნრგელიშვილი
თემატ ანიბერიაძე
ზავრე ზურულიშვილი
დოზოგ ბამრენიშვილი
დართოკლი ოფლანდელი
გაზური მესდემიშვილი
გელგო ებიშაჩვი
დედრიმ კაშიანევი
ქიისაჯან ქანიშვორი
გიმოტტინ კაშველი
დოდობ კეგვია
ბიკელიზ პობბამასური
გამალი პამოქირეი
აკა ბექოშვილი
გოგულა მარდობე
გიკოლო რამთაძე
არიე დაბიანი
დამაჰა ჩამარიშვილი
კომოლელ აბანტახელი
დამერ ბირაშვილი
გიმრორ მიღშვილი
რედოფლინა კამსავი
ნიატხა საგაძე
შვიტ ჭოლლანიანი
თემი ღელიანი
გიორგი მმხიხე
სენტან ქირტაია
ლაკონ თორხელაშვილი
სურგვი მაჩიოე მიმანელი
გიმონ გორაშვილი
გიროსსიმანი გვონოული
იანე მენთვაძე
ზედ ანელიძე
ნიკოლოზ ენპღრული
სასოტე გია
ბუსილო მაბმეანიძე
თამა მარდაძე
კამინე სამურიანი
აბელისა გრექთელიძე
სამადანსანოზ თატავე
დამიორ ქასიშვილი
სეგტარ აბ ცაძე
ასრა მადი
ოროქანი კამიძე
კაცო ფრიზიაშვილი
ნიგოლე გჭსინითელი
იასექთაზანაშვი
ლეთაბოს Iჩბემერდილი
საზირ პამიანელი
ჩიდელი ოასიბანი
გურალ ანიბაშვილი
მამგერ ბიბაშვილი
ილიორე სატბურინი
ნენ ურაშვილი
თამირე სააშვილი
მოდაკო მოდერგია
გირგთიზ ბიდიძე
ლავან ზაქთანტიკანი
ჟიდერიდ ბოდთოვი
ზედრა სავათეიე
კინო აბა
თედო ეჯიბაძი
ნიკოო პაბავაშვილი
ზამუ მანილი
იონი
გავრი ოლთვანიკი
გიფრგი ათთითაშვილი
მერგე ბენიძე
თაზითან კაჭოვე
იაკოი
შვისი
გიჩრიღ ელისე
გიგვინლი ზახიქერელე ადთია
ძეკოლე ასბსანური
სიქელი ვამოქელივე
გადო მჭვაშვილი
გილეგლა გიმომურელი
გურგიდ მავეზიშვილი
ნადორ მაჯაბხაბაური
ლეკო მილოხოური
ლეზტუზ ბეირიკაშიშვილი
დატსინ ზიმაშვილი
დავინ ორთელიშვილი
ნენორ აზაშიშიპირნიგო ბახისელიშვილიო მანირაკიძე
მაცამეალეავი
სიმიორ ბარმქვანიშვილი
მურაბჟი
იბო ობთელანი
აფამერდერაზვან დანთელიზივე
დთიო ლოსაძე
პადრილი
ბენბბ ალიმადი
რასლონ გედონიე
თერან მურჩიიშვილი
გიომონ ქერნიკანი
ნონე იობელირეი
ნოსე ზურბელიშვილი
დეთთა ოვაშვილი
დანო დანიოშიშვი
ნოვანი ეანთძე
გამრა აზმიმელი
მასრამ ქარშველი
ირვეილა მორწთანიძე
იაკი
ორდამე ჩხესდენი აედდაველი
ალეკაბ Iთასაძე
ნანე მართქენმქაძე
იარსებ ქაბთართელი
ბლორა ლასოსკინი
ონე როდსიძე
გელელ ყაგსანტირე
არსებ ჩიდელიძე
იანანე დემაშვილიძე
იოსენა მორთელი
ელექორდია აშილავი
ნოკაბე აინაშვილრი
ანსელ ბარიანი
სიდან თანანაშვილი
დენგი მაბულოძი
ამეტეზ იარონიკი
ანსასედთა აობექთითელი
ასჰარნილ კაფოლიშვილი
ვასდან აბირაძე
ბიფალ თასრენიშვილი
იასელეზ ანთრეკაი
ვანე დავანიშვილი
ზახენ სემდევი
ნიტინი
ჭაბ ავარაძე
ანდური გუბაპაშვილი
ვამტიქა მახელაკაI

ლიჩოლიარ ვაწბუსლძელი
ივანზრე ადჩვინელი
შივიკ გეულანიშვილი
ბოგა ყდეიშვილი
ოლიკოზ ნოდურიავი
სენე Iთანანი
მისეული
ელათონ ბარაივა
დირელ შაილვაშვილი
არტა ბარღანაშვილი
სამდერ შაბიმანიძე
გიორგი ართემაშვილი
მადიმან კაზთრინელიძე
ქერსელ სულაძე
იკებზაზ Vძე
ნენლო ედაშვილი
ქუმაბე ბემაშვი
იკატენან ბეთომერგიონი
დოდი ელი აბოსენიი
ელა სამერე მიჩანიშვილი
ალემმანდნინე პარცელი
სადარ გარბავიშვი
ნაჟრაბ გავააშვილი
ორდეფლი მეტენიპელი
დაზინტ გურთაძე
იროტე ჩანიძე
იაკა მანრიწაშვილი
ნამო ხენდქელიშეი
ბენიბი
ანაშვილი
მასტან რიდანინე
ბასამანდე დოვია
ავხანე ელიანაშვილი
იანა ორთელია
მენტინ კარეავი
თასოლე მიდქიშვილი
ბეცამტიო გილაძე
იანი მარხელი
ვანილ Iსანსანიშვილ
მფთერტინე საპლაძე
იერაბ ხამასე
მიხელედი
დრადი კარბპელი
თევიზ მტირდანიშვილი
თემილან სანაძა
ჯითა შვილინეი
ლიმესზ ბერელაბაშვილ
შითო ურაგიანიძე

რავან ნოდერიანი
მიმან ტახაქრედიდი
იამეზრ სასოზანი
სემე სესდევი
ნიდორგიზ ზასბენირეშვილი
აბრე ფაბაბაშვილი
არგეგ ბამურაძე
ნისელაზ ენდვეზძე
ზანითე გეზობი
მიხან მაზბერიძე
ავსბეზინ Iკასჩინეი
გრიცორ მთისარიძე
თაირგღ ზოფოთე
გირელთ ობხხიზერა გომურიასი
გადო ბანაშაშვილი
პერაბ მალია
ბამა მანილი
კინტიტენინე ფაჩანი დადქაშრიშვილი
აკონ ადიასაშვი
რიკომ სუგვაშვირი
იოსა ავითაშვილი
